# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
19968 9.75 1.23682284437126e-05 1.2368234631151e-05 1.23682104120136e-05
20480 10 1.29645154407744e-05 1.29645594941694e-05 1.29645613144037e-05
20992 10.25 1.46354749843789e-05 1.46355131503374e-05 1.46355045504367e-05
21504 10.5 1.30717071951666e-05 1.30717070977616e-05 1.30717071370237e-05
22016 10.75 1.3474961402302e-05 1.34749760523949e-05 1.34749754756242e-05
22528 11 1.38212714487548e-05 1.38212855812489e-05 1.38212726637998e-05
23040 11.25 1.32690443126467e-05 1.32690443225199e-05 1.3269044320672e-05
23552 11.5 1.39528915025963e-05 1.39528915520386e-05 1.39528915799495e-05
24064 11.75 1.57673279546142e-05 1.57673279929133e-05 1.57673279375767e-05
24576 12 1.65199234426916e-05 1.65199234667106e-05 1.65199234257521e-05
25088 12.25 1.56147213263202e-05 1.56147213311145e-05 1.56147211125987e-05
25600 12.5 1.47832529250018e-05 1.47832533428072e-05 1.4783252940864e-05
26112 12.75 1.34172043363818e-05 1.34172042318074e-05 1.3417204093157e-05
26624 13 1.48102067101584e-05 1.48102066875859e-05 1.48102064845539e-05
27136 13.25 1.58462479776364e-05 1.58462475702868e-05 1.5846247232945e-05
27648 13.5 1.56566185947213e-05 1.56566183388678e-05 1.56566181050185e-05
28160 13.75 1.32999252652819e-05 1.32999262026907e-05 1.32999259895756e-05
28672 14 1.42510572267426e-05 1.42510586740609e-05 1.42510584717724e-05
29184 14.25 1.61367791933414e-05 1.61367783879881e-05 1.61367778931909e-05
29696 14.5 1.7852099440197e-05 1.7852101926091e-05 1.78521013461718e-05
30208 14.75 1.82413369042282e-05 1.82413413040619e-05 1.82413409796097e-05
30720 15 1.74880922178129e-05 1.74880938496819e-05 1.74880948197594e-05
31232 15.25 1.56835054671544e-05 1.5683567167851e-05 1.56835297885837e-05
31744 15.5 1.70589672218537e-05 1.7058817947621e-05 1.70589166655365e-05
32256 15.75 1.64675817773881e-05 1.64675686131483e-05 1.64676706914416e-05
32768 16 1.92697924989334e-05 1.92699319005988e-05 1.92695699966411e-05
33280 16.25 2.27693146099943e-05 2.27693051252751e-05 2.27693030425455e-05
33792 16.5 2.49768771318571e-05 2.49768828342141e-05 2.49768750031186e-05
34304 16.75 2.23157877464913e-05 2.23158123361204e-05 2.23158032799127e-05
34816 17 1.73436465140364e-05 1.73428540115717e-05 1.73434651849107e-05
35328 17.25 1.71418789090423e-05 1.71416347804763e-05 1.71416304148553e-05
35840 17.5 1.79411748368679e-05 1.79409587089163e-05 1.79410443320081e-05
36352 17.75 1.98492243894156e-05 1.98481288550751e-05 1.98492937679888e-05
36864 18 2.23333397989474e-05 2.2332949158999e-05 2.2332500701288e-05
37376 18.25 2.37505332027831e-05 2.3750458922014e-05 2.37497128115417e-05
37888 18.5 2.16541109203159e-05 2.16543273196792e-05 2.16536200672948e-05
38400 18.75 1.91780552990141e-05 1.91776530863826e-05 1.91762490619108e-05
38912 19 1.68692423110187e-05 1.68687181988748e-05 1.68689864428556e-05
39424 19.25 1.76410078776882e-05 1.76403365346845e-05 1.76403536415583e-05
39936 19.5 2.24343929449474e-05 2.24381086480567e-05 2.24401826658061e-05
40448 19.75 2.58337189345693e-05 2.58385108993007e-05 2.5840465474278e-05
40960 20 2.61035594380187e-05 2.61007147343804e-05 2.61045180972216e-05
41472 20.25 2.52805326320507e-05 2.52775859067819e-05 2.52648572983724e-05
41984 20.5 2.29292507522014e-05 2.29257535652123e-05 2.29117253411978e-05
42496 20.75 1.96677210768909e-05 1.96695979846788e-05 1.96712891256126e-05
43008 21 2.01889947299002e-05 2.01923585153021e-05 2.01912231313407e-05
43520 21.25 2.26513667536923e-05 2.26533183407244e-05 2.26513063786466e-05
44032 21.5 2.26185643573104e-05 2.26211734296569e-05 2.26191242940424e-05
44544 21.75 2.16897480405239e-05 2.16878654797843e-05 2.16852897951226e-05
45056 22 1.97857452276171e-05 1.97855475539885e-05 1.97857224426139e-05
45568 22.25 1.97825944677381e-05 1.97825798072765e-05 1.97823909263029e-05
46080 22.5 1.79454405869622e-05 1.79488214560686e-05 1.79462916677375e-05
46592 22.75 2.03860326963769e-05 2.03861552541119e-05 2.03866120756241e-05
47104 23 2.29976880171084e-05 2.29975640691342e-05 2.29978720313765e-05
47616 23.25 2.27267575824702e-05 2.27267657478098e-05 2.27267319861421e-05
48128 23.5 1.79964023328941e-05 1.79965560984282e-05 1.79959201347784e-05
48640 23.75 1.73225110080424e-05 1.73223992645482e-05 1.73223926246987e-05
49152 24 2.23044241500234e-05 2.23047640544931e-05 2.23043694163253e-05
49664 24.25 2.16059001530146e-05 2.16059037594723e-05 2.16057885532034e-05
50176 24.5 1.88953865255295e-05 1.889538512877e-05 1.88955153326834e-05
50688 24.75 1.8449325362522e-05 1.8449358382129e-05 1.8449407061594e-05
51200 25 1.80038243236205e-05 1.80038904775782e-05 1.80037286666917e-05
51712 25.25 1.8436103271223e-05 1.84367742288486e-05 1.84364407128105e-05
52224 25.5 1.88972143089291e-05 1.88978777832617e-05 1.88972005142864e-05
52736 25.75 1.60281976706411e-05 1.60283075650066e-05 1.60277985088396e-05
53248 26 1.59796415020213e-05 1.597948686119e-05 1.59797424549009e-05
53760 26.25 1.8700933263247e-05 1.87014477262441e-05 1.87009477126498e-05
54272 26.5 2.00666514188309e-05 2.00671621355925e-05 2.00668532074218e-05
54784 26.75 2.07711799159454e-05 2.07712607574809e-05 2.07708591585648e-05
55296 27 2.14707589644998e-05 2.14704437499693e-05 2.14702873040798e-05
55808 27.25 2.24408743170671e-05 2.24408581981401e-05 2.2440385571737e-05
56320 27.5 2.08917532606881e-05 2.08922622893632e-05 2.08916266471832e-05
56832 27.75 1.93015730066457e-05 1.93018328231036e-05 1.93018932258064e-05
57344 28 1.99425186417656e-05 1.99423705540335e-05 1.99423508409688e-05
57856 28.25 2.09614986907777e-05 2.09612323486773e-05 2.09614338973213e-05
58368 28.5 2.18683867172349e-05 2.18688816801703e-05 2.18688495507768e-05
58880 28.75 2.26646257072714e-05 2.26645364934699e-05 2.2664980631848e-05
59392 29 2.31245773175063e-05 2.31249073427041e-05 2.31251872317187e-05
59904 29.25 2.20565323107273e-05 2.20571367634191e-05 2.20571808716337e-05
60416 29.5 2.07881992571921e-05 2.07882689081756e-05 2.07885045452282e-05
60928 29.75 2.01715834093931e-05 2.01705188419557e-05 2.0171285603421e-05
61440 30 2.11549437537164e-05 2.11554026098762e-05 2.11549890998461e-05
61952 30.25 2.21107508038744e-05 2.21109578794727e-05 2.21110969630846e-05
62464 30.5 2.48365672233008e-05 2.48365139038835e-05 2.48365596847862e-05
62976 30.75 2.75767752435546e-05 2.75768087250784e-05 2.75768823179726e-05
63488 31 2.88337746117319e-05 2.88336512022091e-05 2.88338915400883e-05
64000 31.25 2.99811326842211e-05 2.99812385413073e-05 2.99806741116287e-05
64512 31.5 2.99172505075348e-05 2.99180765602574e-05 2.99169802663113e-05
65024 31.75 2.83617801741729e-05 2.83629065161306e-05 2.83623231573613e-05
65536 32 2.61413606271359e-05 2.61420782389616e-05 2.614263471564e-05
66048 32.25 2.27306041237812e-05 2.27307915974956e-05 2.27319172565234e-05
66560 32.5 2.24667421917785e-05 2.24666427421898e-05 2.24666532789518e-05
67072 32.75 2.06893109105278e-05 2.06892070440419e-05 2.06890413091441e-05
67584 33 2.20099000805508e-05 2.2011772916369e-05 2.20118229607076e-05
68096 33.25 2.24829066266802e-05 2.24853025117115e-05 2.24853427199982e-05
